Cenario,Modelo,Acc_media,Acc_std,Recall_media,Recall_std,Especificidade_media,Especificidade_std,F1_media,F1_std,AUC_media,AUC_std
C1_Digital,AdaBoost,0.7695253164556961,0.03256613573335203,0.5252017048270394,0.07958154725685489,0.7782476469414596,0.021924310302761565,0.5604793637346782,0.10844627321601105,0.6418420632236723,0.07402248863306878
C1_Digital,RandomForest,0.7619620253164557,0.020291843998595155,0.5192757789011134,0.07249128590255671,0.7754784594922087,0.02693450134996807,0.5557367455161984,0.09480986459888055,0.7604490756583384,0.05297897229157752
C1_Digital,GradientBoosting,0.7443354430379746,0.013199806750611344,0.5062563187630091,0.06613613657022029,0.7682559939619695,0.018992757854688236,0.5201967369334038,0.07923417420371995,0.7728277835054518,0.02535611804602174
C1_Digital,MLP_ANN,0.7944620253164556,0.03686769978305813,0.45353817689232506,0.04580154583039288,0.7931813764706415,0.034545064323018626,0.4571376644890677,0.050629383126997766,0.8448386872912913,0.03220879388200886
C1_Digital,DecisionTree,0.6992088607594937,0.012135983116506642,0.4484279908811577,0.07619929243375408,0.7507206196471136,0.0301483794915655,0.44921878390829795,0.0665632677101756,0.5990065853142397,0.04437148115993675
C2_Digital_Sono,MLP_ANN,0.834620253164557,0.02401425463288055,0.7579502428387351,0.09191904691815297,0.8645094203052954,0.013248227912703041,0.7434339892057646,0.06651063367682813,0.9345672048214041,0.020184258525764116
C2_Digital_Sono,GradientBoosting,0.8471835443037975,0.028644292861571857,0.7361542273763504,0.10628998033646572,0.8745761066596603,0.018306505473811237,0.7287812603706354,0.059216579033261406,0.9388633550187034,0.022720831247974898
C2_Digital_Sono,RandomForest,0.834620253164557,0.02648932663494536,0.6837760597350249,0.13526380798387963,0.8598519883078317,0.026767264721256623,0.677060925213871,0.14177631570780713,0.9291051612104404,0.022687742909584016
C2_Digital_Sono,DecisionTree,0.8095886075949366,0.02963191510120963,0.6913212409554961,0.1147358624838551,0.8440626774365537,0.019553097210752234,0.6738108910613158,0.08180686089381929,0.7676919591960248,0.06436596994519886
C2_Digital_Sono,AdaBoost,0.8171835443037974,0.06073720582779014,0.6861238312353388,0.1619818188946229,0.8611875344820877,0.031586822041180615,0.6710257816391842,0.17080245830702961,0.900542279515704,0.04581299858270103
C3_Digital_Sono_Atividade,GradientBoosting,0.8320886075949367,0.024424640238765918,0.7216721181484786,0.10152503533125815,0.8664486679663834,0.02267403064098348,0.7035078606397409,0.05885890220008603,0.9342263869267307,0.015863297811591532
C3_Digital_Sono_Atividade,MLP_ANN,0.8321518987341772,0.037310837862686796,0.6761548881620246,0.09425612415857647,0.8644945353723777,0.02652918765464941,0.6886174501419282,0.10982468399427091,0.9258432725005304,0.011959231463357282
C3_Digital_Sono_Atividade,DecisionTree,0.8045886075949366,0.06030287280482302,0.6888664221759673,0.14505395241466926,0.846706101936139,0.03993239233776377,0.6647299751162997,0.11782907214847994,0.767786262056053,0.09083209912187469
C3_Digital_Sono_Atividade,AdaBoost,0.8096518987341772,0.046652267523172745,0.6503921762976178,0.11054548781271581,0.8575031649119433,0.014284642631648806,0.6435165654963537,0.12978467313876674,0.8971697233199313,0.04460092998814391
C3_Digital_Sono_Atividade,RandomForest,0.8220886075949367,0.029804952653743225,0.6254713053820994,0.12466640153420738,0.8394959538375721,0.01623230072635581,0.6397147401729053,0.14219430516176415,0.9315984511385069,0.018899624882090287
C4_Comportamental_Completo,RandomForest,0.9398417721518987,0.02152652511317525,0.8423808107840222,0.09762187777940447,0.9487437693043195,0.02411120794785559,0.8556390635047245,0.078551467884994,0.986135585425848,0.006886089113337407
C4_Comportamental_Completo,AdaBoost,0.9147151898734178,0.018801303789759936,0.8333412627614234,0.08177882856368428,0.9360572883840996,0.016027617602547135,0.8238347031564114,0.050448177407439475,0.9505184004535675,0.03992707854665867
C4_Comportamental_Completo,GradientBoosting,0.9223101265822784,0.01221453398908126,0.7573717249810025,0.09777617195251544,0.939966525043204,0.019369590404637604,0.7500301173429514,0.08736155935036231,0.9699866328414192,0.019369687509979357
C4_Comportamental_Completo,MLP_ANN,0.9148734177215191,0.03284361936205005,0.7406297287474808,0.08951260800566098,0.9386811226261251,0.02802119518998331,0.7474432641017816,0.10639432562764144,0.9741384359205598,0.021248828535959687
C4_Comportamental_Completo,DecisionTree,0.8721518987341772,0.04438408186818246,0.6747480754617239,0.10064021548776675,0.9055279105993014,0.0340009859256133,0.6658820108975233,0.09256555506409772,0.7901379930305127,0.044519864692973206
C5_Comportamental_Demografico,AdaBoost,0.9147151898734178,0.018801303789759936,0.8333412627614234,0.08177882856368428,0.9360572883840996,0.016027617602547135,0.8238347031564114,0.050448177407439475,0.9505184004535675,0.03992707854665867
C5_Comportamental_Demografico,RandomForest,0.912246835443038,0.019534213142475353,0.7936115241021574,0.12237889928941194,0.9238083609791701,0.02053908746788706,0.8027671257810027,0.12083859092736599,0.9836712431076773,0.007535461838701212
C5_Comportamental_Demografico,GradientBoosting,0.9122784810126582,0.007918098423675461,0.7266309842402617,0.09106880950074359,0.9313080509008589,0.017938717626971957,0.7228138357945971,0.07960610487972838,0.9667449736302837,0.01583648373090078
C5_Comportamental_Demografico,MLP_ANN,0.8947151898734177,0.028144211112261612,0.7161476195196089,0.1376774160242554,0.9145438156649156,0.018579355719564098,0.7116714472369846,0.13565982795682416,0.9584270521943656,0.019565221465506544
C5_Comportamental_Demografico,DecisionTree,0.8796835443037974,0.04004453937545869,0.685664254798956,0.10256877822075329,0.9176890827604736,0.026305452394200964,0.6619228462949572,0.0817580705783555,0.8016766687797148,0.048498856367498365
